alias,nombre_canonico
Ale Galán,Alejandro Galan
Paquito Navarro,Francisco Navarro
Coki Nieto,Jorge Nieto
Alejandra Salazar,Alejandra Salazar Bengoechea
Aranzazu Osoro,Aranzazu Osoro Ulrich
Ariana Sanchez,Ariana Sanchez Fallada
Beatriz Gonzalez,Beatriz Gonzalez Fernandez
Blanca Arriola,Blanca Arriola Cerrejon
Carmen Goenaga,Carmen Goenaga Garcia
Claudia Fernandez,Claudia Fernandez Sanchez
Daiara Valenzuela,Daiara Agustina Valenzuela
Delfina Brea,Delfina Brea Senesi
Gemma Triay,Gemma Triay Pons
Jessica Castello,Jessica Castello Lopez
Julia Gomes Giusti,Julia Giusti Gomes
Julieta Bidahorria,Julieta Evangelina Bidahorria
Leonardo Iago Fuertes,Iago Fuertes Leonardo
Lucas Mañero Baeza,Lucas Mañero Cervo Baeza
Lucia Sainz,Lucia Sainz Pelegri
Marta Marrero Marrero,Marta Marrero
Marta Ortega,Marta Ortega Gallego
Naim Diaz,Naim Horacio Diaz
Patricia Llaguno,Patricia Llaguno Zielinski
Paula Josemaria,Paula Josemaria Martin
Radu Alice,Alice Radu
Rayan Abdulla,Rayan Abdulla Aljufairi
Sato Chifumi,Chifumi Sato
Sofia Piaskowy,Sofia Piaskowy Santos
Tamara Icardo,Tamara Icardo Alcorisa
Victoria Iglesias,Victoria Iglesias Segador
