pais,continente,categoria,valor,unidad,calificador,contexto_txt
GLOBAL,,jugadores_amateur,35000000,jugadores,aprox,"Estimación FIP a partir de datos de federaciones nacionales, 2025"
GLOBAL,,licencias_federadas,850000,licencias,mas_de,"Federados en federaciones afiliadas a la FIP, +19,0% vs encuesta anterior"
GLOBAL,,paises_donde_se_juega,150,paises,exacto,"Más 20 territorios dependientes"
GLOBAL,,federaciones_afiliadas_fip,87,federaciones,exacto,
GLOBAL,,clubes,24627,clubes,mas_de,"Clubes e instalaciones donde se puede jugar, mundial"
GLOBAL,,clubes_afiliados_federacion,8612,clubes,exacto,"Frente a 5.820 en 2023 (+48%)"
GLOBAL,,pistas,77355,pistas,mas_de,"Dato de junio de 2025 (70.000 a principios de 2025)"
GLOBAL,,crecimiento_pistas_18m_pct,22.8,pct,exacto,"+14.355 pistas en 18 meses (~15,2% anual)"
EUROPA,Europa,pct_clubes_mundial,62.3,pct,exacto,
EUROPA,Europa,pct_pistas_mundial,66.1,pct,exacto,"51.100 pistas"
EUROPA,Europa,crecimiento_pistas_18m_pct,20,pct,exacto,"+8.500 pistas"
SUDAMERICA,América del Sur,pct_clubes_mundial,21.5,pct,exacto,
SUDAMERICA,América del Sur,pct_pistas_mundial,18.3,pct,exacto,
SUDAMERICA,América del Sur,crecimiento_pistas_18m_pct,10,pct,exacto,"+1.297 pistas"
ASIA,Asia,pct_clubes_mundial,7.0,pct,exacto,
ASIA,Asia,pct_pistas_mundial,6.0,pct,exacto,
ASIA,Asia,crecimiento_pistas_18m_pct,45,pct,exacto,"+1.433 pistas"
AFRICA,África,pct_clubes_mundial,4.7,pct,exacto,
AFRICA,África,pct_pistas_mundial,4.4,pct,exacto,
AFRICA,África,crecimiento_pistas_18m_pct,47,pct,exacto,"+1.089 pistas"
CENTRO_Y_NORTEAMERICA,Centro y Norteamérica,pct_clubes_mundial,4.5,pct,exacto,
CENTRO_Y_NORTEAMERICA,Centro y Norteamérica,pct_pistas_mundial,5.1,pct,exacto,
CENTRO_Y_NORTEAMERICA,Centro y Norteamérica,crecimiento_pistas_18m_pct,99,pct,exacto,"+1.976 pistas"
OCEANIA,Oceanía,pct_clubes_mundial,0.1,pct,exacto,
OCEANIA,Oceanía,pct_pistas_mundial,0.1,pct,exacto,
OCEANIA,Oceanía,crecimiento_pistas_18m_pct,120,pct,exacto,"+60 pistas"
ESPAÑA,Europa,pistas,17300,pistas,mas_de,"50% de los aficionados de Europa"
ESPAÑA,Europa,jugadores,6000000,jugadores,mas_de,
ITALIA,Europa,pistas,10200,pistas,mas_de,"11% de los aficionados de Europa, en consolidación tras el boom"
FRANCIA,Europa,pistas,4000,pistas,mas_de,"+1.850 pistas en 18 meses, +55% anual — mayor crecimiento absoluto de Europa"
REINO_UNIDO,Europa,pistas,1000,pistas,mas_de,"Hito alcanzado a mediados de julio 2025; crecimiento medio anual reciente ~130%"
ALEMANIA,Europa,pistas,875,pistas,mas_de,"+50% en pistas y clubes"
PORTUGAL,Europa,pistas,1560,pistas,exacto,"3er país en aficionados de Europa tras España e Italia; aficionados +8%"
PAISES_BAJOS,Europa,pistas,3500,pistas,mas_de,"Dato de mediados de 2025"
BELGICA,Europa,pistas,2150,pistas,exacto,
NORUEGA,Europa,pistas,600,pistas,exacto,"En fase de consolidación en 2024"
FINLANDIA,Europa,pistas,1100,pistas,exacto,"En fase de consolidación en 2024"
MEXICO,América,jugadores,1000000,jugadores,mas_de,"13% de los aficionados del continente americano"
ARGENTINA,América,pct_aficionados_continente,40,pct,mas_de,"Líder del continente americano"
CHILE,América,pct_aficionados_continente,10,pct,exacto,
ESTADOS_UNIDOS,América,pistas,770,pistas,mas_de,"31 estados; Florida 41% de las pistas del país, Texas 18%, California 10%, Nueva York 4,7%"
ESTADOS_UNIDOS,América,pct_aficionados_continente,10,pct,exacto,
VENEZUELA,América,pistas,300,pistas,mas_de,
ECUADOR,América,pistas,300,pistas,mas_de,
PANAMA,América,pistas,200,pistas,exacto,
COLOMBIA,América,pistas,500,pistas,aprox,"Acercándose a esta cifra"
BOLIVIA,América,pistas,100,pistas,mas_de,
REPUBLICA_DOMINICANA,América,pistas,100,pistas,mas_de,
INDONESIA,Asia,pistas,350,pistas,aprox,"17% de los aficionados de Asia"
ARABIA_SAUDI,Asia,pistas,1127,pistas,exacto,"438 instalaciones, 1/4 de las instalaciones de Asia, 12% de los aficionados"
EMIRATOS_ARABES_UNIDOS,Asia,pistas,1000,pistas,aprox,"13,5% de los aficionados de Asia"
KUWAIT,Asia,pistas,600,pistas,exacto,
SUDAFRICA,África,pistas,1200,pistas,mas_de,"~390 instalaciones; 28% de los aficionados de África (16% en 2024)"
EGIPTO,África,pct_instalaciones_continente,44,pct,exacto,"31% de los aficionados; país más maduro de África"
MARRUECOS,África,pistas,100,pistas,mas_de,"13% de los aficionados de África"
TUNEZ,África,pistas,100,pistas,mas_de,"12% de los aficionados de África"
AUSTRALIA,Oceanía,pistas,80,pistas,exacto,"Sedes de torneos FIP en Sídney y Melbourne"
