circuito,categoria,temporada,ronda,pct_pool,prize_money_pareja_eur,pool_min_eur,pool_max_eur,moneda,nota
Premier Padel,Major,2026,W,9,94500,525000,525000,EUR,
Premier Padel,Major,2026,F,4.5,47250,525000,525000,EUR,
Premier Padel,Major,2026,SF,2.5,26250,525000,525000,EUR,
Premier Padel,Major,2026,QF,1.6,17062,525000,525000,EUR,
Premier Padel,Major,2026,R16,1,10500,525000,525000,EUR,
Premier Padel,P1,2026,W,21,54600,260000,260000,EUR,
Premier Padel,P1,2026,F,11,28600,260000,260000,EUR,
Premier Padel,P1,2026,SF,6,15600,260000,260000,EUR,
Premier Padel,P1,2026,QF,3.6,9400,260000,260000,EUR,
Premier Padel,P1,2026,R16,2.2,5720,260000,260000,EUR,
Premier Padel,P2,2026,W,21,31000,147500,147500,EUR,
Premier Padel,P2,2026,F,11,16250,147500,147500,EUR,
Premier Padel,P2,2026,SF,6,8850,147500,147500,EUR,
Premier Padel,P2,2026,QF,3.6,5310,147500,147500,EUR,
Premier Padel,P2,2026,R16,2.2,3250,147500,147500,EUR,
FIP Tour,FIP Platinum,2026,W,20,,120000,150000,EUR,% del total repartido entre la única pareja ganadora
FIP Tour,FIP Platinum,2026,F,11,,120000,150000,EUR,
FIP Tour,FIP Platinum,2026,SF,12,,120000,150000,EUR,% repartido entre las 2 parejas semifinalistas
FIP Tour,FIP Platinum,2026,QF,16,,120000,150000,EUR,% repartido entre las 4 parejas cuartofinalistas
FIP Tour,FIP Platinum,2026,R16,19,,120000,150000,EUR,% repartido entre las parejas eliminadas en R16
FIP Tour,FIP Platinum,2026,R32,19,,120000,150000,EUR,% repartido entre las parejas eliminadas en R32
FIP Tour,FIP Platinum,2026,LQ,3,,120000,150000,EUR,Ronda de clasificación final
FIP Tour,FIP Gold,2026,W,20,,50000,80000,EUR,
FIP Tour,FIP Gold,2026,F,10,,50000,80000,EUR,
FIP Tour,FIP Gold,2026,SF,13,,50000,80000,EUR,
FIP Tour,FIP Gold,2026,QF,16,,50000,80000,EUR,
FIP Tour,FIP Gold,2026,R16,18,,50000,80000,EUR,
FIP Tour,FIP Gold,2026,R32,23,,50000,80000,EUR,
FIP Tour,FIP Silver,2026,W,19.97,,15000,30000,EUR,
FIP Tour,FIP Silver,2026,F,10,,15000,30000,EUR,
FIP Tour,FIP Silver,2026,SF,12.96,,15000,30000,EUR,
FIP Tour,FIP Silver,2026,QF,15.89,,15000,30000,EUR,
FIP Tour,FIP Silver,2026,R16,18.13,,15000,30000,EUR,
FIP Tour,FIP Silver,2026,R32,23.05,,15000,30000,EUR,
FIP Tour,FIP Bronze,2026,W,19.98,,7000,10000,EUR,
FIP Tour,FIP Bronze,2026,F,14.99,,7000,10000,EUR,
FIP Tour,FIP Bronze,2026,SF,20.01,,7000,10000,EUR,
FIP Tour,FIP Bronze,2026,QF,19.95,,7000,10000,EUR,
FIP Tour,FIP Bronze,2026,R16,25.06,,7000,10000,EUR,
