torneo_nombre_bronze,fuente,slug,mes_aprox
Paris Major 2026,padelearnings,paris-major-2026-2026-09,
Madrid P1 2026,padelearnings,madrid-p1-2026-2026-08,
London P1 2026,padelearnings,london-p1-2026-2026-08,
Pretoria P1 2026,padelearnings,pretoria-p1-2026-2026-07,
Malaga P1 2026,padelearnings,mlaga-p1-2026-2026-07,
Bordeaux P2 2026,padelearnings,bordeaux-p2-2026-2026-06,
Valladolid P2 2026,padelearnings,valladolid-p2-2026-2026-06,
Valencia P1 2026,padelearnings,valencia-p1-2026-2026-06,
Italy Major 2026,padelearnings,italy-major-2026-2026-06,
Buenos Aires P1 2026,padelearnings,buenos-aires-p1-2026-2026-05,
Asuncion P2 2026,padelearnings,asuncion-p2-2026-2026-05,
Brussels P2 2026,padelearnings,brussels-p2-2026-2026-04,
Miami P1 2026,padelearnings,miami-p1-2026-2026-03,
Cancun P2 2026,padelearnings,cancun-p2-2026,
Gijon P2 2026,padelearnings,gijon-p2-2026,
Riyadh Season P1 2026,padelearnings,riyadh-season-p1-2026-2026-02,
FIP Gold Abidjan,padelfip,fip-gold-abidjan-2026,
FIP Gold Almaty,padelfip,fip-gold-almaty-2026,
FIP Gold Belgrade,padelfip,fip-gold-belgrade-2026,
FIP Gold Bucharest,padelfip,fip-gold-bucharest,
FIP Gold Shanghai,padelfip,fip-gold-shanghai-2026,
FIP Platinum Albania,padelfip,fip-platinum-albania-2026,
FIP Platinum Lusitania Portugal Master Padel,padelfip,fip-platinum-lusitania-portugal-master-padel-2026,
FIP Silver Aguascalientes,padelfip,fip-silver-aguascalientes-2026,
FIP Silver Alcala De Guadaira,padelfip,fip-silver-alcala-de-guadaira-2026,
FIP Silver Bandol,padelfip,fip-silver-bandol-2026,
FIP Silver Bmw Marmotor 26º Aniversario Club La Calzada,padelfip,fip-silver-club-la-calzada-2026,
FIP Silver Camboriu,padelfip,fip-silver-camboriu-2026-6,
FIP Silver Cordoba,padelfip,fip-silver-cordoba-2026,
FIP Silver Damac Dubai,padelfip,fip-silver-damac-dubai-2026,2026-02
FIP Silver Esc Padel II,padelfip,fip-silver-esc-padel-ii-2026,
FIP Silver Giulianova,padelfip,fip-silver-giulianova-2026,
FIP Silver Hiscox Padel Irish Open Dublin,padelfip,fip-silver-hiscox-padel-irish-open-dublin-2026,
FIP Silver Hop London Padel Open,padelfip,fip-silver-hop-london-padel-open-2026,
FIP Silver Horama 2026,padelfip,fip-silver-horama-2026,
FIP Silver Koksijde,padelfip,fip-silver-koksijde-2026,
FIP Silver Kuala Lumpur,padelfip,fip-silver-kuala-lumpur-2026,
FIP Silver Leiria Master Padel,padelfip,fip-silver-leiria-master-padel-2026,
FIP Silver Lisboa Racket Centre By Ava Cr7,padelfip,fip-silver-lisboa-2026,
FIP Silver Mediolanum Padel Cup,padelfip,fip-silver-mediolanum-padel-cup-bari-2026,
FIP Silver Mediolanum Padel Cup Bari,padelfip,fip-silver-mediolanum-padel-cup-bari-2026,
FIP Silver Mendoza,padelfip,fip-silver-mendoza-2026,
FIP Silver Mumbai,padelfip,fip-silver-mumbai-2026,
FIP Silver Narbona,padelfip,fip-silver-narbona-2026,
FIP Silver Nola,padelfip,fip-silver-nola-2026,
FIP Silver Padel Copa Utrecht 2026,padelfip,fip-silver-padel-copa-utrecht-2026,
FIP Silver Pingyuan,padelfip,fip-silver-pingyuan-2026,
FIP Silver R3 Bull Padel Cup,padelfip,fip-silver-r3-bull-padel-cup-2026,
FIP Silver Rathbones Island Padel,padelfip,fip-silver-rathbones-island-padel-2026-2,
FIP Silver San Luis,padelfip,fip-silver-san-luis-2026,
FIP Silver Timisoara,padelfip,fip-silver-timisoara-2026,
FIP Silver Vila Real De Santo Antonio,padelfip,fip-silver-vila-real-de-santo-antonio-2026,
Newgiza P2 2026,padelearnings,newgiza-p2-2026-2026-04,
FIP Gold San Luis,padelfip,fip-gold-san-luis-2026,
FIP Silver 3f Elettronica Porto St'elpidio,padelfip,fip-silver-3f-elettronica-porto-stelpidio-2026,
FIP Silver Bali Island Sports,padelfip,fip-silver-indonesia-2026,
FIP Silver Betclic,padelfip,fip-silver-ivory-coast-i-2026,
FIP Silver Cyprus I,padelfip,fip-silver-ayia-napa-protaras-cyprus-iii-2026,
FIP Silver Hoganas,padelfip,fip-silver-sweden-i-2026,
FIP Silver Kalat,padelfip,fip-silver-caltanisetta-2026,
FIP Silver Mc Allen Texas,padelfip,fip-silver-mcallen-texas-2026,
FIP Silver Mimosa Open Porto,padelfip,fip-silver-oporto-2026,
FIP Silver Oeiras,padelfip,fip-bronze-oeiras-2026,
FIP Silver Slam Collbató,padelfip,fip-silver-collbatto-2026,
FIP Silver Westerbork,padelfip,fip-bronze-men-netherlands-west-2026,
FIP Gold Ponta Delgada,padelfip,fip-gold-ponta-delgada-2026,
FIP Platinum Ville De Marseille,padelfip,fip-platinum-ville-de-marseille-2026,
FIP Silver Caen,padelfip,fip-silver-caen-2026,
FIP Silver Esc Padel 2026,padelfip,fip-silver-esc-padel-2026-2026,
FIP Silver Joinville,padelfip,fip-silver-joinville-2026,
FIP Silver Manila,padelfip,fip-silver-manila-2026,
FIP Silver Wadi Padel Tournament,padelfip,fip-silver-wadi-padel-tournament-2026,
FIP Silver Damac Dubai,padelfip,fip-silver-damac-dubai-2026-2,2026-06
