circuito,categoria,temporada,ronda,puntos,prize_money_pareja,nota
FIP World Cup,FIP World Cup Pairs,2026,W,2000,,
FIP World Cup,FIP World Cup Pairs,2026,F,1200,,
FIP World Cup,FIP World Cup Pairs,2026,SF,720,,
FIP World Cup,FIP World Cup Pairs,2026,QF,360,,
FIP World Cup,FIP World Cup Pairs,2026,R16,180,,
FIP World Cup,FIP World Cup Pairs,2026,R32,90,,
FIP World Cup,FIP World Cup Pairs,2026,R64,35,,
FIP World Cup,FIP World Cup Pairs,2026,BQ,15,,Bonus Qualy
FIP World Cup,FIP World Cup Pairs,2026,LQ,30,,Last Qualy
FIP World Cup,FIP World Cup Pairs,2026,Q2,15,,
Premier Padel,Major,2026,W,2000,,
Premier Padel,Major,2026,F,1200,,
Premier Padel,Major,2026,SF,720,,
Premier Padel,Major,2026,QF,360,,
Premier Padel,Major,2026,R16,180,,
Premier Padel,Major,2026,R32,90,,
Premier Padel,Major,2026,R64,35,,
Premier Padel,Major,2026,BQ,15,,Bonus Qualy
Premier Padel,Major,2026,LQ,30,,Last Qualy
Premier Padel,Major,2026,Q2,15,,
Premier Padel,P1,2026,W,1000,,
Premier Padel,P1,2026,F,600,,
Premier Padel,P1,2026,SF,360,,
Premier Padel,P1,2026,QF,180,,
Premier Padel,P1,2026,R16,90,,
Premier Padel,P1,2026,R32,45,,
Premier Padel,P1,2026,BQ,10,,Bonus Qualy
Premier Padel,P1,2026,LQ,18,,Last Qualy
Premier Padel,P2,2026,W,600,,
Premier Padel,P2,2026,F,360,,
Premier Padel,P2,2026,SF,180,,
Premier Padel,P2,2026,QF,90,,
Premier Padel,P2,2026,R16,45,,
Premier Padel,P2,2026,R32,22,,
Premier Padel,P2,2026,BQ,5,,Bonus Qualy
Premier Padel,P2,2026,LQ,15,,Last Qualy
Premier Padel,P2,2026,Q2,7,,
Premier Padel,Finals,2026,W,1500,,
Premier Padel,Finals,2026,F,900,,
Premier Padel,Finals,2026,3RD,600,,Playoff 3er/4º puesto: ganador
Premier Padel,Finals,2026,4TH,400,,Playoff 3er/4º puesto: perdedor
Premier Padel,Finals,2026,QF,270,,Fase de grupos
FIP Tour,FIP Platinum,2026,W,300,,
FIP Tour,FIP Platinum,2026,F,180,,
FIP Tour,FIP Platinum,2026,SF,90,,
FIP Tour,FIP Platinum,2026,QF,50,,
FIP Tour,FIP Platinum,2026,R16,25,,
FIP Tour,FIP Platinum,2026,R32,14,,
FIP Tour,FIP Platinum,2026,BQ,3,,Bonus Qualy
FIP Tour,FIP Platinum,2026,LQ,9,,Last Qualy
FIP Tour,FIP Platinum,2026,Q2,5,,
FIP Tour,FIP Gold,2026,W,150,,
FIP Tour,FIP Gold,2026,F,90,,
FIP Tour,FIP Gold,2026,SF,50,,
FIP Tour,FIP Gold,2026,QF,25,,
FIP Tour,FIP Gold,2026,R16,14,,
FIP Tour,FIP Gold,2026,R32,8,,
FIP Tour,FIP Gold,2026,BQ,2,,Bonus Qualy
FIP Tour,FIP Gold,2026,LQ,5,,Last Qualy
FIP Tour,FIP Gold,2026,Q2,3,,En cuadros de qualy de 64 este valor aplica a Q3
FIP Tour,FIP Silver,2026,W,80,,
FIP Tour,FIP Silver,2026,F,45,,
FIP Tour,FIP Silver,2026,SF,25,,
FIP Tour,FIP Silver,2026,QF,14,,
FIP Tour,FIP Silver,2026,R16,8,,
FIP Tour,FIP Silver,2026,R32,5,,
FIP Tour,FIP Silver,2026,BQ,1,,Bonus Qualy
FIP Tour,FIP Silver,2026,LQ,3,,Last Qualy
FIP Tour,FIP Silver,2026,Q2,2,,En cuadros de qualy de 64 este valor aplica a Q3
FIP Tour,FIP Bronze,2026,W,40,,
FIP Tour,FIP Bronze,2026,F,22,,
FIP Tour,FIP Bronze,2026,SF,14,,
FIP Tour,FIP Bronze,2026,QF,8,,
FIP Tour,FIP Bronze,2026,R16,5,,
FIP Tour,FIP Bronze,2026,R32,3,,
FIP Tour,FIP Bronze,2026,LQ,2,,Last Qualy
FIP Tour,FIP Finals,2026,W,225,,
FIP Tour,FIP Finals,2026,F,135,,
FIP Tour,FIP Finals,2026,SF,70,,
FIP Tour,FIP Finals,2026,QF,40,,
FIP Tour,FIP Finals,2026,R16,20,,
