fecha_dato,jugador_id,jugador_nombre,sexo,partidos_8sem,victorias_8sem,pct_victorias_8sem,racha_tipo,racha_n,fuente_txt,publicable
2026-09-21,Jd763c527b4,Marta Caparros Maldonado,F,22,18,81.8,victorias,4,padelapi.org · elaboración propia,True
2026-09-21,J5fc53d9153,Gonzalo Alfonso,M,21,17,81.0,victorias,5,padelapi.org · elaboración propia,True
2026-09-21,J957fcb5137,Tino Libaak,M,21,17,81.0,victorias,5,padelapi.org · elaboración propia,True
2026-09-21,Jb19fc68f15,Agueda Perez Ortiz,F,21,17,81.0,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,J66d1d4c075,Alejandro Galan,M,20,18,90.0,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,J0a8d738816,Federico Chingotto,M,20,18,90.0,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,Jd9fa981b55,Alba Perez Momha,F,19,14,73.7,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,Jc7e7f6afc3,Alex Ruiz,M,18,12,66.7,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,J2dcff75f4f,Agustin Tapia,M,17,15,88.2,victorias,5,padelapi.org · elaboración propia,True
2026-09-21,J3f488c4efa,Arturo Coello,M,17,15,88.2,victorias,5,padelapi.org · elaboración propia,True
2026-09-21,J17b4d7d535,David Gala,M,17,13,76.5,victorias,10,padelapi.org · elaboración propia,True
2026-09-21,Jb261430dc0,Jaume Romera Barcelo,M,17,13,76.5,victorias,2,padelapi.org · elaboración propia,True
2026-09-21,J98f60d4348,Lorena Rufo Ortiz,F,17,12,70.6,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,Jf7bcd83489,Jessica Castello Lopez,F,17,11,64.7,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,Jc4223aa1d9,Marta Barrera De La Fuente,F,17,11,64.7,victorias,4,padelapi.org · elaboración propia,True
2026-09-21,J7c981678ab,Jana Montes Cabruja,F,17,11,64.7,victorias,4,padelapi.org · elaboración propia,True
2026-09-21,Jc7c102b375,Gonzalo Rubio,M,17,11,64.7,victorias,5,padelapi.org · elaboración propia,True
2026-09-21,J6459f41772,Alba Gallardo Salvado,F,17,11,64.7,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,Jb10d9aa8a7,Borja Trujillo Chang,M,16,12,75.0,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,Jc86618f5bb,Jorge Nieto,M,16,11,68.8,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,Jd365378064,Alejandra Salazar Bengoechea,F,16,11,68.8,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,Ja7ef7fd3cc,Daniel Santigosa,M,16,11,68.8,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,J554e552e53,Enzo Jensen,M,16,11,68.8,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,Jc15557af2d,Aranzazu Osoro Ulrich,F,16,11,68.8,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,Jd6a5776124,Federico Mouriño,M,16,10,62.5,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,Jdb188d98e2,Marc Quilez,M,16,10,62.5,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,J9560af4c28,Felipe Calleja,M,15,13,86.7,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,J453f6bce43,Gemma Triay Pons,F,15,13,86.7,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,Jff6d3cf766,Delfina Brea Senesi,F,15,13,86.7,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,J33fad4cb39,Claudia Fernandez Sanchez,F,15,12,80.0,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,J1063047d41,Martina Calvo Santamaria,F,15,12,80.0,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,J5aa55d3ebb,Alex Chozas,M,15,10,66.7,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,J139c18aa02,Tolito Aguirre,M,15,10,66.7,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,J076ace699f,Marc Sintes Villalonga,M,15,10,66.7,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,J56d1b4390e,Lorena Vano,F,15,10,66.7,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,J0328c405ab,Sergio Icardo,M,15,10,66.7,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,Jb87af1df79,Alvaro Cepero,M,15,9,60.0,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,Jb6d38e9a09,Santiago Jose Pineda Cabello,M,15,8,53.3,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,J03644b2521,Jon Sanz,M,14,10,71.4,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,Jbc19eb72db,Virginia Riera,F,14,10,71.4,victorias,4,padelapi.org · elaboración propia,True
2026-09-21,J4f8105ed8a,Teresa Navarro Lopez-Barajas,F,14,10,71.4,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,J542989ecc5,Lucia Martinez Gomez,F,14,10,71.4,victorias,4,padelapi.org · elaboración propia,True
2026-09-21,J3fbd535bb9,Marta Borrero,F,14,10,71.4,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,Jb5dae7e68e,Juanlu Esbri,M,14,9,64.3,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,J1eaf117310,Alejandro Arroyo,M,14,9,64.3,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,J1bbe9fa09a,Jose Jimenez,M,14,9,64.3,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,J2cd187e76c,Ramiro Valenzuela,M,14,9,64.3,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,J5a87fed5cf,Sandra Bellver Fructuoso,F,14,9,64.3,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,Jba0b848d33,Aimee Gibson,F,14,9,64.3,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,J1ccf403805,Juan Ignacio De Pascual,M,14,8,57.1,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,J8d31c4614f,Andres Fdz Lancha,M,14,7,50.0,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,Jcfb7752c55,Juan Zamora Perez,M,13,11,84.6,victorias,5,padelapi.org · elaboración propia,True
2026-09-21,J7970a5b206,Eugenia Guimet Bigas,F,13,10,76.9,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,J362f991c86,Fabian Oviedo Berazategui,M,13,10,76.9,derrotas,1,padelapi.org · elaboración propia,True
2026-09-21,Jb00374b105,Maximiliano Arce,M,13,9,69.2,victorias,5,padelapi.org · elaboración propia,True
