pareja_1,pareja_2,categoria,victorias_pareja_1,victorias_pareja_2,total_enfrentamientos,ultimo_enfrentamiento,fuente_txt,publicable
Federico Chingotto / Alejandro Galan,Agustin Tapia / Arturo Coello,men,3,6,9,2026-09-13,padelapi.org · elaboración propia,True
Beatriz Gonzalez Fernandez / Paula Josemaria Martin,Gemma Triay Pons / Delfina Brea Senesi,women,5,3,8,2026-09-06,padelapi.org · elaboración propia,True
Agustin Tapia / Arturo Coello,Juan Lebron / Leo Augsburger,men,6,1,7,2026-09-12,padelapi.org · elaboración propia,True
Ariana Sanchez Fallada / Andrea Ustero Prieto,Gemma Triay Pons / Delfina Brea Senesi,women,2,5,7,2026-09-05,padelapi.org · elaboración propia,True
Claudia Jensen / Tamara Icardo Alcorisa,Gemma Triay Pons / Delfina Brea Senesi,women,1,5,6,2026-07-31,padelapi.org · elaboración propia,True
Federico Chingotto / Alejandro Galan,Juan Lebron / Leo Augsburger,men,4,2,6,2026-08-08,padelapi.org · elaboración propia,True
Ariana Sanchez Fallada / Andrea Ustero Prieto,Beatriz Gonzalez Fernandez / Paula Josemaria Martin,women,1,4,5,2026-06-28,padelapi.org · elaboración propia,True
Martina Calvo Santamaria / Marta Ortega Gallego,Claudia Fernandez Sanchez / Sofia Araujo,women,2,2,4,2026-07-17,padelapi.org · elaboración propia,True
Ariana Sanchez Fallada / Andrea Ustero Prieto,Beatriz Caldera Sanchez / Carmen Goenaga Garcia,women,4,0,4,2026-08-07,padelapi.org · elaboración propia,True
Claudia Jensen / Tamara Icardo Alcorisa,Ariana Sanchez Fallada / Andrea Ustero Prieto,women,1,3,4,2026-09-04,padelapi.org · elaboración propia,True
Martina Calvo Santamaria / Marta Ortega Gallego,Beatriz Gonzalez Fernandez / Paula Josemaria Martin,women,1,3,4,2026-06-12,padelapi.org · elaboración propia,True
Federico Chingotto / Alejandro Galan,Juan Tello / Maximiliano Arce,men,4,0,4,2026-07-31,padelapi.org · elaboración propia,True
Gemma Triay Pons / Delfina Brea Senesi,Nuria Rodriguez / Giulia Dal Pozzo,women,4,0,4,2026-09-10,padelapi.org · elaboración propia,True
Federico Chingotto / Alejandro Galan,Franco Stupaczuk / Miguel Yanguas,men,3,0,3,2026-07-04,padelapi.org · elaboración propia,True
Jon Sanz / Jorge Nieto,Juan Lebron / Leo Augsburger,men,0,3,3,2026-08-07,padelapi.org · elaboración propia,True
Tolito Aguirre / Alejandro Arroyo,Agustin Tapia / Arturo Coello,men,0,3,3,2026-07-16,padelapi.org · elaboración propia,True
Federico Chingotto / Alejandro Galan,Alex Chozas / Tino Libaak,men,3,0,3,2026-06-11,padelapi.org · elaboración propia,True
Veronica Virseda / Marina Guinart,Lorena Rufo Ortiz / Jessica Castello Lopez,women,2,1,3,2026-05-28,padelapi.org · elaboración propia,True
Jon Sanz / Jorge Nieto,Federico Chingotto / Alejandro Galan,men,0,3,3,2026-07-03,padelapi.org · elaboración propia,True
Veronica Virseda / Marina Guinart,Gemma Triay Pons / Delfina Brea Senesi,women,0,3,3,2026-07-03,padelapi.org · elaboración propia,True
Beatriz Gonzalez Fernandez / Paula Josemaria Martin,Beatriz Caldera Sanchez / Carmen Goenaga Garcia,women,3,0,3,2026-07-17,padelapi.org · elaboración propia,True
David Gala / Inigo Jofre,Maxi Sanchez Blasco / Jose Antonio Diestro,men,0,3,3,2026-05-12,padelapi.org · elaboración propia,True
Agustin Tapia / Arturo Coello,Franco Stupaczuk / Miguel Yanguas,men,3,0,3,2026-06-13,padelapi.org · elaboración propia,True
Jon Sanz / Jorge Nieto,Agustin Tapia / Arturo Coello,men,0,3,3,2026-06-12,padelapi.org · elaboración propia,True
Alejandra Alonso De Villa / Alejandra Salazar Bengoechea,Nuria Rodriguez / Giulia Dal Pozzo,women,1,2,3,2026-06-26,padelapi.org · elaboración propia,True
Claudia Jensen / Tamara Icardo Alcorisa,Claudia Fernandez Sanchez / Sofia Araujo,women,1,2,3,2026-07-03,padelapi.org · elaboración propia,True
Aimar Goñi / Edu Alonso,Agustin Tapia / Arturo Coello,men,0,3,3,2026-07-30,padelapi.org · elaboración propia,True
Javier Martinez / Luis Hernandez,Ignacio Piotto / Jose Antonio Diestro,men,2,1,3,2026-06-23,padelapi.org · elaboración propia,True
Laura Lujan Rodriguez / Araceli Martinez,Nuria Rodriguez / Giulia Dal Pozzo,women,1,2,3,2026-07-15,padelapi.org · elaboración propia,True
Victoria Iglesias Segador / Aranzazu Osoro Ulrich,Patricia Llaguno Zielinski / Carolina Orsi,women,1,2,3,2026-06-19,padelapi.org · elaboración propia,True
Federico Chingotto / Alejandro Galan,Javier Leal / Francisco Guerrero,men,3,0,3,2026-08-02,padelapi.org · elaboración propia,True
Federico Chingotto / Alejandro Galan,Martin Di Nenno / Francisco Navarro,men,3,0,3,2026-09-12,padelapi.org · elaboración propia,True
Agustin Tapia / Arturo Coello,Martin Di Nenno / Francisco Navarro,men,3,0,3,2026-08-08,padelapi.org · elaboración propia,True
Beatriz Gonzalez Fernandez / Paula Josemaria Martin,Marta Talavan / Jessica Castello Lopez,women,3,0,3,2026-08-07,padelapi.org · elaboración propia,True
Beatriz Caldera Sanchez / Carmen Goenaga Garcia,Aranzazu Osoro Ulrich / Alejandra Salazar Bengoechea,women,2,1,3,2026-09-10,padelapi.org · elaboración propia,True
Martina Calvo Santamaria / Claudia Fernandez Sanchez,Gemma Triay Pons / Delfina Brea Senesi,women,2,1,3,2026-09-12,padelapi.org · elaboración propia,True
Martina Calvo Santamaria / Claudia Fernandez Sanchez,Beatriz Gonzalez Fernandez / Paula Josemaria Martin,women,2,1,3,2026-09-05,padelapi.org · elaboración propia,True
Franco Dal Bianco / Facundo Rodrigo Luis Lopez,Jose Jimenez / Alejandro Arroyo,men,0,2,2,2026-09-18,padelapi.org · elaboración propia,True
Claudia Fernandez Sanchez / Sofia Araujo,Gemma Triay Pons / Delfina Brea Senesi,women,0,2,2,2026-05-16,padelapi.org · elaboración propia,True
Beatriz Caldera Sanchez / Carmen Goenaga Garcia,Alejandra Alonso De Villa / Alejandra Salazar Bengoechea,women,2,0,2,2026-04-15,padelapi.org · elaboración propia,True
Victoria Iglesias Segador / Aranzazu Osoro Ulrich,Beatriz Caldera Sanchez / Carmen Goenaga Garcia,women,1,1,2,2026-05-13,padelapi.org · elaboración propia,True
Martina Calvo Santamaria / Marta Ortega Gallego,Gemma Triay Pons / Delfina Brea Senesi,women,0,2,2,2026-07-18,padelapi.org · elaboración propia,True
Jon Sanz / Jorge Nieto,Juanlu Esbri / Alex Ruiz,men,2,0,2,2026-07-02,padelapi.org · elaboración propia,True
Maxi Sanchez Blasco / Jose Antonio Diestro,Franco Stupaczuk / Miguel Yanguas,men,0,2,2,2026-05-07,padelapi.org · elaboración propia,True
Veronica Virseda / Marina Guinart,Nuria Rodriguez / Giulia Dal Pozzo,women,2,0,2,2026-05-29,padelapi.org · elaboración propia,True
Victoria Iglesias Segador / Aranzazu Osoro Ulrich,Beatriz Gonzalez Fernandez / Paula Josemaria Martin,women,0,2,2,2026-06-25,padelapi.org · elaboración propia,True
Julieta Evangelina Bidahorria / Marta Caparros Maldonado,Lorena Rufo Ortiz / Jessica Castello Lopez,women,0,2,2,2026-05-24,padelapi.org · elaboración propia,True
Jose Jimenez / Javier Garcia,Martin Di Nenno / Momo Gonzalez,men,2,0,2,2026-05-14,padelapi.org · elaboración propia,True
Beatriz Gonzalez Fernandez / Paula Josemaria Martin,Claudia Fernandez Sanchez / Sofia Araujo,women,2,0,2,2026-05-09,padelapi.org · elaboración propia,True
Gemma Triay Pons / Delfina Brea Senesi,Alejandra Alonso De Villa / Alejandra Salazar Bengoechea,women,2,0,2,2026-05-08,padelapi.org · elaboración propia,True
Pol Hernandez / Guillermo Collado,Juan Lebron / Leo Augsburger,men,0,2,2,2026-06-25,padelapi.org · elaboración propia,True
Claudia Jensen / Tamara Icardo Alcorisa,Victoria Iglesias Segador / Aranzazu Osoro Ulrich,women,2,0,2,2026-07-02,padelapi.org · elaboración propia,True
Jon Sanz / Jorge Nieto,Alex Chozas / Tino Libaak,men,2,0,2,2026-05-07,padelapi.org · elaboración propia,True
Lucia Martinez Gomez / Agueda Perez Ortiz,Raquel Eugenio Barrera / Martina Fassio Goyeneche,women,0,2,2,2026-05-03,padelapi.org · elaboración propia,True
Juan Tello / Maximiliano Arce,Francisco Navarro / Francisco Guerrero,men,1,1,2,2026-05-05,padelapi.org · elaboración propia,True
Jose Jimenez / Javier Garcia,Juanlu Esbri / Alex Ruiz,men,0,2,2,2026-06-30,padelapi.org · elaboración propia,True
Agustin Tapia / Arturo Coello,Lucas Campagnolo / Jairo Bautista,men,2,0,2,2026-05-15,padelapi.org · elaboración propia,True
Jose Jimenez / Javier Garcia,Franco Stupaczuk / Miguel Yanguas,men,0,2,2,2026-06-11,padelapi.org · elaboración propia,True
Julieta Evangelina Bidahorria / Marta Caparros Maldonado,Lucia Martinez Gomez / Agueda Perez Ortiz,women,0,2,2,2026-08-04,padelapi.org · elaboración propia,True
Claudia Jensen / Tamara Icardo Alcorisa,Nuria Rodriguez / Giulia Dal Pozzo,women,2,0,2,2026-05-14,padelapi.org · elaboración propia,True
Ariana Sanchez Fallada / Andrea Ustero Prieto,Lorena Rufo Ortiz / Jessica Castello Lopez,women,2,0,2,2026-06-25,padelapi.org · elaboración propia,True
Victoria Iglesias Segador / Aranzazu Osoro Ulrich,Alejandra Alonso De Villa / Alejandra Salazar Bengoechea,women,0,2,2,2026-05-29,padelapi.org · elaboración propia,True
Jon Sanz / Jorge Nieto,Juan Tello / Maximiliano Arce,men,2,0,2,2026-06-04,padelapi.org · elaboración propia,True
