fecha_dato,anio,fuente,sexo,licencias,fuente_txt,publicable
1980-12-31,1980,csd,total,2748,"CSD, Estadística de Deporte Federado · elaboración propia",True
1981-12-31,1981,csd,total,3075,"CSD, Estadística de Deporte Federado · elaboración propia",True
1982-12-31,1982,csd,total,2721,"CSD, Estadística de Deporte Federado · elaboración propia",True
1983-12-31,1983,csd,total,3515,"CSD, Estadística de Deporte Federado · elaboración propia",True
1984-12-31,1984,csd,total,4141,"CSD, Estadística de Deporte Federado · elaboración propia",True
1985-12-31,1985,csd,total,5463,"CSD, Estadística de Deporte Federado · elaboración propia",True
2000-12-31,2000,csd,total,6137,"CSD, Estadística de Deporte Federado · elaboración propia",True
2001-12-31,2001,csd,total,7225,"CSD, Estadística de Deporte Federado · elaboración propia",True
2002-12-31,2002,csd,total,8344,"CSD, Estadística de Deporte Federado · elaboración propia",True
2003-12-31,2003,csd,total,10019,"CSD, Estadística de Deporte Federado · elaboración propia",True
2004-12-31,2004,csd,total,17545,"CSD, Estadística de Deporte Federado · elaboración propia",True
2005-12-31,2005,csd,total,13698,"CSD, Estadística de Deporte Federado · elaboración propia",True
2006-12-31,2006,csd,total,16736,"CSD, Estadística de Deporte Federado · elaboración propia",True
2007-12-31,2007,csd,F,6698,"CSD, Estadística de Deporte Federado · elaboración propia",True
2007-12-31,2007,csd,M,13408,"CSD, Estadística de Deporte Federado · elaboración propia",True
2007-12-31,2007,csd,sin_especificar,253,"CSD, Estadística de Deporte Federado · elaboración propia",True
2007-12-31,2007,csd,total,20359,"CSD, Estadística de Deporte Federado · elaboración propia",True
2008-12-31,2008,csd,F,8025,"CSD, Estadística de Deporte Federado · elaboración propia",True
2008-12-31,2008,csd,M,15346,"CSD, Estadística de Deporte Federado · elaboración propia",True
2008-12-31,2008,csd,total,23371,"CSD, Estadística de Deporte Federado · elaboración propia",True
2009-12-31,2009,csd,F,9228,"CSD, Estadística de Deporte Federado · elaboración propia",True
2009-12-31,2009,csd,M,17495,"CSD, Estadística de Deporte Federado · elaboración propia",True
2009-12-31,2009,csd,total,26723,"CSD, Estadística de Deporte Federado · elaboración propia",True
2010-12-31,2010,csd,F,10487,"CSD, Estadística de Deporte Federado · elaboración propia",True
2010-12-31,2010,csd,M,21023,"CSD, Estadística de Deporte Federado · elaboración propia",True
2010-12-31,2010,csd,total,31510,"CSD, Estadística de Deporte Federado · elaboración propia",True
2011-12-31,2011,csd,F,11409,"CSD, Estadística de Deporte Federado · elaboración propia",True
2011-12-31,2011,csd,M,23378,"CSD, Estadística de Deporte Federado · elaboración propia",True
2011-12-31,2011,csd,total,34787,"CSD, Estadística de Deporte Federado · elaboración propia",True
2012-12-31,2012,csd,F,13002,"CSD, Estadística de Deporte Federado · elaboración propia",True
2012-12-31,2012,csd,M,26650,"CSD, Estadística de Deporte Federado · elaboración propia",True
2012-12-31,2012,csd,total,39652,"CSD, Estadística de Deporte Federado · elaboración propia",True
2012-12-31,2012,fep,total,39652,"FEP, Federación Española de Pádel (dato en vivo) · elaboración propia",True
2013-12-31,2013,csd,F,13405,"CSD, Estadística de Deporte Federado · elaboración propia",True
2013-12-31,2013,csd,M,29907,"CSD, Estadística de Deporte Federado · elaboración propia",True
2013-12-31,2013,csd,total,43312,"CSD, Estadística de Deporte Federado · elaboración propia",True
2013-12-31,2013,fep,total,43312,"FEP, Federación Española de Pádel (dato en vivo) · elaboración propia",True
2014-12-31,2014,csd,F,16997,"CSD, Estadística de Deporte Federado · elaboración propia",True
2014-12-31,2014,csd,M,32466,"CSD, Estadística de Deporte Federado · elaboración propia",True
2014-12-31,2014,csd,total,49463,"CSD, Estadística de Deporte Federado · elaboración propia",True
2014-12-31,2014,fep,total,49463,"FEP, Federación Española de Pádel (dato en vivo) · elaboración propia",True
2015-12-31,2015,csd,F,19569,"CSD, Estadística de Deporte Federado · elaboración propia",True
2015-12-31,2015,csd,M,36694,"CSD, Estadística de Deporte Federado · elaboración propia",True
2015-12-31,2015,csd,total,56263,"CSD, Estadística de Deporte Federado · elaboración propia",True
2015-12-31,2015,fep,total,56263,"FEP, Federación Española de Pádel (dato en vivo) · elaboración propia",True
2016-12-31,2016,csd,F,20424,"CSD, Estadística de Deporte Federado · elaboración propia",True
2016-12-31,2016,csd,M,37900,"CSD, Estadística de Deporte Federado · elaboración propia",True
2016-12-31,2016,csd,total,58324,"CSD, Estadística de Deporte Federado · elaboración propia",True
2016-12-31,2016,fep,total,58333,"FEP, Federación Española de Pádel (dato en vivo) · elaboración propia",True
2017-12-31,2017,csd,F,24390,"CSD, Estadística de Deporte Federado · elaboración propia",True
2017-12-31,2017,csd,M,44398,"CSD, Estadística de Deporte Federado · elaboración propia",True
2017-12-31,2017,csd,total,68788,"CSD, Estadística de Deporte Federado · elaboración propia",True
2017-12-31,2017,fep,total,68786,"FEP, Federación Española de Pádel (dato en vivo) · elaboración propia",True
2018-12-31,2018,csd,F,25814,"CSD, Estadística de Deporte Federado · elaboración propia",True
2018-12-31,2018,csd,M,46452,"CSD, Estadística de Deporte Federado · elaboración propia",True
2018-12-31,2018,csd,total,72266,"CSD, Estadística de Deporte Federado · elaboración propia",True
2018-12-31,2018,fep,total,72266,"FEP, Federación Española de Pádel (dato en vivo) · elaboración propia",True
2019-12-31,2019,csd,F,27234,"CSD, Estadística de Deporte Federado · elaboración propia",True
2019-12-31,2019,csd,M,48584,"CSD, Estadística de Deporte Federado · elaboración propia",True
2019-12-31,2019,csd,total,75818,"CSD, Estadística de Deporte Federado · elaboración propia",True
2019-12-31,2019,fep,total,75819,"FEP, Federación Española de Pádel (dato en vivo) · elaboración propia",True
2020-12-31,2020,csd,F,26643,"CSD, Estadística de Deporte Federado · elaboración propia",True
2020-12-31,2020,csd,M,48905,"CSD, Estadística de Deporte Federado · elaboración propia",True
2020-12-31,2020,csd,total,75548,"CSD, Estadística de Deporte Federado · elaboración propia",True
2020-12-31,2020,fep,total,75548,"FEP, Federación Española de Pádel (dato en vivo) · elaboración propia",True
2021-12-31,2021,csd,F,31103,"CSD, Estadística de Deporte Federado · elaboración propia",True
