fecha_dato,fuente,pais,continente,categoria,valor,unidad,calificador,contexto_txt,fuente_txt,publicable
2026-09-21,fip,AFRICA,África,pct_clubes_mundial,4.7,pct,exacto,,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,AFRICA,África,pct_pistas_mundial,4.4,pct,exacto,,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,AFRICA,África,crecimiento_pistas_18m_pct,47.0,pct,exacto,+1.089 pistas,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,ALEMANIA,Europa,pistas,875.0,pistas,mas_de,+50% en pistas y clubes,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,ARABIA_SAUDI,Asia,pistas,1127.0,pistas,exacto,"438 instalaciones, 1/4 de las instalaciones de Asia, 12% de los aficionados",FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,ARGENTINA,América,pct_aficionados_continente,40.0,pct,mas_de,Líder del continente americano,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,ASIA,Asia,pct_clubes_mundial,7.0,pct,exacto,,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,ASIA,Asia,pct_pistas_mundial,6.0,pct,exacto,,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,ASIA,Asia,crecimiento_pistas_18m_pct,45.0,pct,exacto,+1.433 pistas,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,AUSTRALIA,Oceanía,pistas,80.0,pistas,exacto,Sedes de torneos FIP en Sídney y Melbourne,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,BELGICA,Europa,pistas,2150.0,pistas,exacto,,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,BOLIVIA,América,pistas,100.0,pistas,mas_de,,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,CENTRO_Y_NORTEAMERICA,Centro y Norteamérica,pct_clubes_mundial,4.5,pct,exacto,,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,CENTRO_Y_NORTEAMERICA,Centro y Norteamérica,pct_pistas_mundial,5.1,pct,exacto,,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,CENTRO_Y_NORTEAMERICA,Centro y Norteamérica,crecimiento_pistas_18m_pct,99.0,pct,exacto,+1.976 pistas,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,CHILE,América,pct_aficionados_continente,10.0,pct,exacto,,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,COLOMBIA,América,pistas,500.0,pistas,aprox,Acercándose a esta cifra,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,ECUADOR,América,pistas,300.0,pistas,mas_de,,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,EGIPTO,África,pct_instalaciones_continente,44.0,pct,exacto,31% de los aficionados; país más maduro de África,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,EMIRATOS_ARABES_UNIDOS,Asia,pistas,1000.0,pistas,aprox,"13,5% de los aficionados de Asia",FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,ESPAÑA,Europa,pistas,17300.0,pistas,mas_de,50% de los aficionados de Europa,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,ESPAÑA,Europa,jugadores,6000000.0,jugadores,mas_de,,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,ESTADOS_UNIDOS,América,pistas,770.0,pistas,mas_de,"31 estados; Florida 41% de las pistas del país, Texas 18%, California 10%, Nueva York 4,7%",FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,ESTADOS_UNIDOS,América,pct_aficionados_continente,10.0,pct,exacto,,FIP World Padel Report 2025 · elaboración propia,True
2026-09-21,fip,EUROPA,Europa,pct_clubes_mundial,62.3,pct,exacto,,FIP World Padel Report 2025 · elaboración propia,True
