pareja_id,jugador_1_nombre,jugador_2_nombre,categoria,fecha_inicio,fecha_fin,activa,duracion_dias,n_torneos,n_partidos,posible_inicio_anterior_a_datos,fuente_txt,publicable
Pae3f26b2ea,Julian Prins,Youp De Kroon,men,2026-01-21,2026-09-19,True,243,9,50,True,padelapi.org · elaboración propia,True
Pcf16eb6e35,Lucas Bergamini,Javier Garrido,men,2026-02-05,2026-09-09,True,228,19,86,False,padelapi.org · elaboración propia,True
P7eedd477ec,Federico Mouriño,Marc Quilez,men,2026-02-09,2026-09-20,True,224,17,72,False,padelapi.org · elaboración propia,True
P416075675a,Agustin Tapia,Arturo Coello,men,2026-02-10,2026-09-13,True,223,16,138,False,padelapi.org · elaboración propia,True
P159ca3cdfe,Federico Chingotto,Alejandro Galan,men,2026-02-10,2026-09-13,True,223,17,148,False,padelapi.org · elaboración propia,True
P5a87c95cce,Juan Lebron,Leo Augsburger,men,2026-02-10,2026-09-12,True,223,17,112,False,padelapi.org · elaboración propia,True
P05f4dcd7d0,Claudia Jensen,Tamara Icardo Alcorisa,women,2026-02-10,2026-09-04,True,223,16,90,False,padelapi.org · elaboración propia,True
Pdd0394d123,Beatriz Caldera Sanchez,Carmen Goenaga Garcia,women,2026-02-10,2026-09-10,True,223,19,84,False,padelapi.org · elaboración propia,True
Pa25eede3aa,Nuria Rodriguez,Giulia Dal Pozzo,women,2026-02-10,2026-09-10,True,223,19,86,False,padelapi.org · elaboración propia,True
P5eb19f905c,Gemma Triay Pons,Delfina Brea Senesi,women,2026-02-11,2026-09-12,True,222,17,126,False,padelapi.org · elaboración propia,True
P858627b324,Ariana Sanchez Fallada,Andrea Ustero Prieto,women,2026-02-11,2026-09-13,True,222,15,96,False,padelapi.org · elaboración propia,True
P92b399860c,Beatriz Gonzalez Fernandez,Paula Josemaria Martin,women,2026-02-11,2026-09-11,True,222,17,114,False,padelapi.org · elaboración propia,True
P960b5aeef8,Mohamed El Garhy,Mohamed Aboulkassem,men,2026-02-11,2026-04-13,True,222,2,6,False,padelapi.org · elaboración propia,True
Pe2a8786c30,Victor Tur Checa,Agustin Reca,men,2026-02-04,2026-09-10,False,218,12,29,False,padelapi.org · elaboración propia,True
P714c6d41c8,Richard Ashforth,Luan Krige,men,2026-02-18,2026-09-18,True,215,3,8,False,padelapi.org · elaboración propia,True
P38fadd9d99,Angela Caro Cantin,Gimena Sol Perez,women,2026-02-18,2026-06-07,True,215,2,14,False,padelapi.org · elaboración propia,True
P876e7e2e11,Hamzeh Al-Aswad,Nima Jabbari,men,2026-02-18,2026-06-04,True,215,2,4,False,padelapi.org · elaboración propia,True
P4c5a600c27,Fatma Abbas Janahi,Aisha Alawadhi,women,2026-02-18,2026-06-05,True,215,2,6,False,padelapi.org · elaboración propia,True
Pf09dbd8fad,Wing Chun Law,Hiu Wai Lau,women,2026-02-18,2026-09-19,False,213,4,6,False,padelapi.org · elaboración propia,True
P189a5f836b,Maria Eulalia Rodriguez Abajo,Noa Canovas Paredes,women,2026-02-09,2026-09-09,False,212,19,55,False,padelapi.org · elaboración propia,True
Pa83aa55e17,Pol Hernandez,Guillermo Collado,men,2026-02-09,2026-09-09,False,212,22,96,False,padelapi.org · elaboración propia,True
P3cdc39edc4,Facundo Erguy,Ali Dawani,men,2026-02-18,2026-09-18,False,212,3,6,False,padelapi.org · elaboración propia,True
P671b7a6f68,Henrik Aarnio,Janne Wuorinen,men,2026-02-26,2026-08-21,True,207,2,8,False,padelapi.org · elaboración propia,True
Pc5eb230198,Saana Saarteinen,Ella Sillanpää,women,2026-02-26,2026-08-21,True,207,2,4,False,padelapi.org · elaboración propia,True
P38b1b16b6a,Maria Teeriaho,Merituuli Saarela,women,2026-02-26,2026-08-21,True,207,2,4,False,padelapi.org · elaboración propia,True
Pf9006a42f0,Valeria Garcia Martinez,Carlota Lamas Rodriguez,women,2026-02-18,2026-09-11,False,205,2,4,False,padelapi.org · elaboración propia,True
Pfefc27753d,Gustavo Nunes,Anton Sans,men,2026-02-26,2026-09-19,False,205,16,63,False,padelapi.org · elaboración propia,True
P910d8ee666,Lorenzo Bogarin,Guillermo Fernandez Sanchez,men,2026-02-18,2026-09-10,False,204,2,3,False,padelapi.org · elaboración propia,True
Pd6daa332f1,Pedro Araujo,Pedro Graça,men,2026-03-06,2026-09-19,True,199,9,58,False,padelapi.org · elaboración propia,True
P1e4342e306,Maria Do Carmo Ribeiro,Luisa Roque De Pinho,women,2026-03-06,2026-09-18,True,199,8,20,False,padelapi.org · elaboración propia,True
P368b6dae64,Micaela Para,Jessica Para,women,2026-03-06,2026-09-18,True,199,7,22,False,padelapi.org · elaboración propia,True
P1910b47afc,Fabio Da Costa Araujo,Zè Pedro Ferreira,men,2026-03-06,2026-09-17,False,195,6,11,False,padelapi.org · elaboración propia,True
P7ee8eb4a6a,Lucca Carlesso,Nathan De Barros Duval,men,2026-03-13,2026-09-18,True,192,3,8,False,padelapi.org · elaboración propia,True
Pffbd37fc2e,Nerea Guerra Santana,Carla Fernandez Gonzalez,women,2026-03-13,2026-09-19,True,192,10,58,False,padelapi.org · elaboración propia,True
P4489f74c5b,Vlada Kutuzova,Vilena Petrova,women,2026-03-13,2026-08-27,True,192,3,14,False,padelapi.org · elaboración propia,True
P6d923506b0,Leonardo Becker,Renan Lobo Bosco,men,2026-03-13,2026-07-24,True,192,2,6,False,padelapi.org · elaboración propia,True
P83a2d149f5,Pablo Molina Tofanelli,Axel William Guevara,men,2026-03-13,2026-09-17,False,188,2,5,False,padelapi.org · elaboración propia,True
Peac5178933,Ivet Val Lopez,Louise Bahurel,women,2026-03-06,2026-09-08,False,186,10,24,False,padelapi.org · elaboración propia,True
Pd4f3d68a8a,Cecilia Pattacini,Francesca Scrinzi,women,2026-03-19,2026-04-18,True,186,2,8,False,padelapi.org · elaboración propia,True
Pe36c0fcd51,Rodrigo Lopez Santin,Filippo Necchi,men,2026-03-19,2026-04-17,True,186,2,4,False,padelapi.org · elaboración propia,True
P7bee9026ce,Antonio Palma,Matteo Mancini,men,2026-03-19,2026-06-27,True,186,4,8,False,padelapi.org · elaboración propia,True
P592d7deec6,Angelina Neizvestnaya,Elsa Terranova,women,2026-03-19,2026-09-20,False,185,8,21,False,padelapi.org · elaboración propia,True
P916fec2408,Christian Fuster,Miguel Angel Solbes,men,2026-03-27,2026-06-08,True,178,4,14,False,padelapi.org · elaboración propia,True
Pb9fb9c05eb,Nahuel Pineda,Antonio Terzo,men,2026-03-27,2026-06-11,True,178,2,4,False,padelapi.org · elaboración propia,True
P5be523d0c4,Lena Plümer,Katharina Hering,women,2026-03-28,2026-09-11,True,177,4,16,False,padelapi.org · elaboración propia,True
Pefd5073502,Franco Stupaczuk,Miguel Yanguas,men,2026-02-10,2026-08-05,False,176,15,86,False,padelapi.org · elaboración propia,True
P5d39445400,Marc Sintes Villalonga,Daniel Santigosa,men,2026-01-21,2026-07-15,False,175,13,64,True,padelapi.org · elaboración propia,True
P18bdc10671,Julieta Evangelina Bidahorria,Marta Caparros Maldonado,women,2026-02-10,2026-08-04,False,175,19,78,False,padelapi.org · elaboración propia,True
P3b62cd69c2,Javier Valdes,Renzo Gabriel Nuñez,men,2026-02-09,2026-08-01,False,173,7,24,False,padelapi.org · elaboración propia,True
Pdc9f123b09,Francisco Cabeza Teres,Mariano Gonzalez,men,2026-04-02,2026-09-09,True,172,13,78,False,padelapi.org · elaboración propia,True
P8155cd3b03,Alberto Garcia Jimenez,Christian Medina Murphy,men,2026-04-02,2026-09-20,True,172,9,54,False,padelapi.org · elaboración propia,True
P96ebd96438,Zhanibek Umbetov,Rodion Pak,men,2026-04-02,2026-04-24,True,172,2,4,False,padelapi.org · elaboración propia,True
Pcccc7ad2f6,Ibrahim Joel Tresor Ouédraogo,Tinde Malick Souleyman,men,2026-04-02,2026-06-25,True,172,2,6,False,padelapi.org · elaboración propia,True
P8b679329e7,Lara Salloub,Kinda Omeis,women,2026-04-03,2026-06-25,True,171,2,4,False,padelapi.org · elaboración propia,True
Pef6d5ecb20,Mauricio Garcia Villalobos,Diego Garcia Villalobos Blanco,men,2026-04-09,2026-08-27,True,165,3,8,False,padelapi.org · elaboración propia,True
Pdd43d88962,Luis Facundo Sayes,Lucas Franco Rodriguez,men,2026-04-09,2026-09-10,True,165,3,6,False,padelapi.org · elaboración propia,True
P56166b9848,Nicolas Crosio,Matias Emiliano Gutierrez C.,men,2026-04-09,2026-09-12,True,165,3,16,False,padelapi.org · elaboración propia,True
Pd9b9c98fc1,Thijs Roper,Willy Slaryd,men,2026-04-09,2026-09-19,False,163,4,19,False,padelapi.org · elaboración propia,True
P08ba201873,Silvia Lopez Vidal,Fatma Al Nabhani,women,2026-04-11,2026-06-05,True,163,2,12,False,padelapi.org · elaboración propia,True
P360858c8d4,Lucia Martinez Gomez,Agueda Perez Ortiz,women,2026-02-04,2026-07-15,False,161,14,56,False,padelapi.org · elaboración propia,True
Pe85b04c07c,Alex Chozas,Tino Libaak,men,2026-02-04,2026-07-14,False,160,18,86,False,padelapi.org · elaboración propia,True
P5fcefcf512,Martina Calvo Santamaria,Marta Ortega Gallego,women,2026-02-09,2026-07-18,False,159,13,66,False,padelapi.org · elaboración propia,True
P7da034faaf,Alessandro Pirrotta,Rogrigo Tornelli Contreras,men,2026-04-17,2026-06-11,True,157,2,4,False,padelapi.org · elaboración propia,True
P3f4f0e84bb,Valentina Mago,Ginevra Mariapia Abramo,women,2026-04-17,2026-06-12,True,157,2,6,False,padelapi.org · elaboración propia,True
Pfc614b39d1,Francesco Spurio,Edoardo Riso,men,2026-04-17,2026-05-07,True,157,2,6,False,padelapi.org · elaboración propia,True
P0117cdd24b,Micaela Moroni,Deborah Cruciani,women,2026-04-17,2026-06-27,True,157,4,8,False,padelapi.org · elaboración propia,True
P7f89fbfb93,Claudia Fernandez Sanchez,Sofia Araujo,women,2026-02-11,2026-07-17,False,156,13,64,False,padelapi.org · elaboración propia,True
Paac1c37e57,Muzaaffer Atakan Ozuysal,Pier Giulio Farabbi,men,2026-02-18,2026-07-24,False,156,2,3,False,padelapi.org · elaboración propia,True
P0251f5cdcd,Jon Sanz,Jorge Nieto,men,2026-03-04,2026-08-07,False,156,14,74,False,padelapi.org · elaboración propia,True
Pcb37518e79,Nacho Vilariño,Mario Del Castillo,men,2026-02-09,2026-07-14,False,155,7,38,False,padelapi.org · elaboración propia,True
Pc517d52217,Kae Tokumoto,Saki Tsukamoto,women,2026-03-13,2026-08-15,False,155,4,18,False,padelapi.org · elaboración propia,True
P7214316253,Nathan Courrin,Thomas Seux,men,2026-04-17,2026-09-19,False,155,7,22,False,padelapi.org · elaboración propia,True
P3482a4eb41,Flavio Abbate,Alvaro Montiel Caruso,men,2026-03-06,2026-08-05,False,152,12,46,False,padelapi.org · elaboración propia,True
P2987fd0d86,Aimar Goñi,Edu Alonso,men,2026-04-22,2026-09-11,True,152,14,64,False,padelapi.org · elaboración propia,True
P8257d8852c,Elyne Boeykens,Justine Pysson,women,2026-04-22,2026-09-13,True,152,4,16,False,padelapi.org · elaboración propia,True
P07668dd9c6,Juan Ignacio De Pascual,Alonso Rodriguez Martinez,men,2026-03-24,2026-08-21,False,150,11,48,False,padelapi.org · elaboración propia,True
Pccac34fba1,Gerard Gimeno Centelles,Lluis Miro Garrido,men,2026-04-24,2026-09-19,True,150,2,6,False,padelapi.org · elaboración propia,True
Pfff11a9550,Meisy Jolly Lee,Novi Oey,women,2026-04-24,2026-08-14,True,150,2,4,False,padelapi.org · elaboración propia,True
P133d004af3,Juanlu Esbri,Alex Ruiz,men,2026-02-04,2026-07-02,False,148,15,62,False,padelapi.org · elaboración propia,True
P5c95753c73,Alejandra Alonso De Villa,Alejandra Salazar Bengoechea,women,2026-02-05,2026-07-03,False,148,14,60,False,padelapi.org · elaboración propia,True
P4b2b55ae8a,Alba Vazquez Gracia,Jimena Diaz De La Iglesia,women,2026-04-24,2026-09-19,False,148,5,20,False,padelapi.org · elaboración propia,True
P850f3b379d,Marcos Cordoba,Borja Trujillo Chang,men,2026-02-11,2026-07-08,False,147,6,25,False,padelapi.org · elaboración propia,True
P3984e42a95,Michele Brambilla,Noa Bonnefoy,men,2026-04-17,2026-09-11,False,147,4,11,False,padelapi.org · elaboración propia,True
P8e1fb728cd,Jimena Velasco Postiguillo,Marta Barrera De La Fuente,women,2026-02-05,2026-07-01,False,146,15,70,False,padelapi.org · elaboración propia,True
Pd71884a82c,Patricia Llaguno Zielinski,Carolina Orsi,women,2026-04-18,2026-09-11,False,146,14,48,False,padelapi.org · elaboración propia,True
P68a5f8aed0,Veronica Virseda,Marina Guinart,women,2026-02-09,2026-07-03,False,144,14,62,False,padelapi.org · elaboración propia,True
P4e02b011aa,Alonso Villavicencio,Cristobal Molina,men,2026-05-01,2026-09-18,True,143,2,6,False,padelapi.org · elaboración propia,True
Pfbc93cc98a,Adolfina Caballero Vico,Ana Caballero Vico,women,2026-05-01,2026-07-30,True,143,7,18,False,padelapi.org · elaboración propia,True
P1f1bc692ec,Victoria Iglesias Segador,Aranzazu Osoro Ulrich,women,2026-02-10,2026-07-02,False,142,14,62,False,padelapi.org · elaboración propia,True
Pfac66ecccb,Simone Iacovino,Giulio Graziotti,men,2026-04-23,2026-09-12,False,142,5,20,False,padelapi.org · elaboración propia,True
P88f3f64f15,Michal Skonieczny,Wojciech Szczesny,men,2026-02-12,2026-07-03,False,141,3,4,False,padelapi.org · elaboración propia,True
Pa992764b4f,Alba Gallardo Salvado,Alba Perez Momha,women,2026-03-13,2026-08-01,False,141,8,37,False,padelapi.org · elaboración propia,True
P2d11604eec,Pablo Hernan Barrera,Gerardo Tafich Romo,men,2026-04-09,2026-08-28,False,141,2,8,False,padelapi.org · elaboración propia,True
