fecha_dato,sexo,ranking,jugador_nombre,nacionalidad,edad,altura_cm,lado_pista,mano,fuente_txt,publicable
2026-09-21,F,42,Agueda Perez Ortiz,ES,19,167,backhand,,padelapi.org · elaboración propia,True
2026-09-21,M,1,Agustin Tapia,AR,27,179,backhand,right,padelapi.org · elaboración propia,True
2026-09-21,M,84,Agustin Torre,AR,31,182,backhand,right,padelapi.org · elaboración propia,True
2026-09-21,F,66,Aida Martinez Sanjuan,ES,33,164,drive,,padelapi.org · elaboración propia,True
2026-09-21,M,32,Aimar Goñi,ES,20,190,backhand,right,padelapi.org · elaboración propia,True
2026-09-21,F,91,Aimee Gibson,GB,35,160,drive,,padelapi.org · elaboración propia,True
2026-09-21,F,97,Ainize Santamaria Landa,ES,20,171,backhand,,padelapi.org · elaboración propia,True
2026-09-21,F,77,Alba Perez Momha,ES,27,165,backhand,,padelapi.org · elaboración propia,True
2026-09-21,M,89,Albert Roglan Pons,ES,27,190,drive,,padelapi.org · elaboración propia,True
2026-09-21,F,14,Alejandra Alonso De Villa,ES,20,169,backhand,,padelapi.org · elaboración propia,True
2026-09-21,F,13,Alejandra Salazar Bengoechea,ES,40,168,drive,,padelapi.org · elaboración propia,True
2026-09-21,M,28,Alejandro Arroyo,ES,24,188,backhand,right,padelapi.org · elaboración propia,True
2026-09-21,M,3,Alejandro Galan,ES,30,186,backhand,right,padelapi.org · elaboración propia,True
2026-09-21,M,31,Alex Chozas,AR,23,186,backhand,right,padelapi.org · elaboración propia,True
2026-09-21,M,24,Alex Ruiz,ES,32,187,drive,left,padelapi.org · elaboración propia,True
2026-09-21,F,38,Alix Collombon,FR,33,174,drive,,padelapi.org · elaboración propia,True
2026-09-21,M,45,Alonso Rodriguez Martinez,ES,23,185,backhand,right,padelapi.org · elaboración propia,True
2026-09-21,M,64,Alvaro Cepero,ES,35,167,drive,right,padelapi.org · elaboración propia,True
2026-09-21,M,79,Álvaro Melendez Amaya,ES,26,175,backhand,right,padelapi.org · elaboración propia,True
2026-09-21,M,63,Alvaro Montiel Caruso,IT,21,180,backhand,right,padelapi.org · elaboración propia,True
2026-09-21,F,51,Amanda Lopez Moral,ES,18,163,backhand,,padelapi.org · elaboración propia,True
2026-09-21,F,61,Ana Catarina Nogueira,PT,48,171,backhand,,padelapi.org · elaboración propia,True
2026-09-21,F,78,Ana Dominguez Gracia,ES,21,172,backhand,,padelapi.org · elaboración propia,True
2026-09-21,F,98,Ana Varo Ramos,ES,26,165,drive,,padelapi.org · elaboración propia,True
2026-09-21,F,7,Andrea Ustero Prieto,ES,19,170,drive,,padelapi.org · elaboración propia,True
2026-09-21,M,73,Andres Fdz Lancha,ES,21,192,backhand,right,padelapi.org · elaboración propia,True
2026-09-21,F,79,Anna Ortiz Gasco,ES,21,167,backhand,,padelapi.org · elaboración propia,True
2026-09-21,M,59,Antonio Fernandez,ES,34,180,backhand,right,padelapi.org · elaboración propia,True
2026-09-21,F,37,Araceli Martinez,ES,26,162,backhand,,padelapi.org · elaboración propia,True
2026-09-21,F,17,Aranzazu Osoro Ulrich,AR,30,166,drive,,padelapi.org · elaboración propia,True
2026-09-21,F,59,Ariadna Cañellas Rodero,ES,23,165,drive,,padelapi.org · elaboración propia,True
2026-09-21,F,3,Ariana Sanchez Fallada,ES,29,165,backhand,,padelapi.org · elaboración propia,True
2026-09-21,M,87,Aris Patiniotis,IT,34,175,drive,right,padelapi.org · elaboración propia,True
2026-09-21,M,98,Arnau Ayats,AE,26,185,backhand,right,padelapi.org · elaboración propia,True
2026-09-21,M,1,Arturo Coello,ES,24,190,drive,left,padelapi.org · elaboración propia,True
2026-09-21,F,60,Barbara Las Heras,ES,32,161,drive,,padelapi.org · elaboración propia,True
2026-09-21,F,18,Beatriz Caldera Sanchez,ES,25,164,drive,,padelapi.org · elaboración propia,True
2026-09-21,F,4,Beatriz Gonzalez Fernandez,ES,24,174,backhand,,padelapi.org · elaboración propia,True
2026-09-21,F,100,Bo Luttikhuis,NL,27,,drive,,padelapi.org · elaboración propia,True
2026-09-21,F,70,Brittany Dubins,US,34,178,backhand,,padelapi.org · elaboración propia,True
2026-09-21,F,69,Camila Fassio Goyeneche,ES,19,170,backhand,,padelapi.org · elaboración propia,True
2026-09-21,F,71,Camila Ramme Coellar,MX,25,157,backhand,,padelapi.org · elaboración propia,True
2026-09-21,F,68,Carla Fernandez Gonzalez,ES,19,160,backhand,,padelapi.org · elaboración propia,True
2026-09-21,F,81,Carla Mesa Salazar,ES,35,168,backhand,,padelapi.org · elaboración propia,True
2026-09-21,F,90,Carla Touly,FR,30,162,backhand,,padelapi.org · elaboración propia,True
2026-09-21,F,85,Carlotta Casali,IT,33,170,backhand,,padelapi.org · elaboración propia,True
2026-09-21,F,89,Carmen Castillon Gamez,ES,24,179,backhand,,padelapi.org · elaboración propia,True
2026-09-21,F,18,Carmen Goenaga Garcia,ES,22,167,backhand,,padelapi.org · elaboración propia,True
2026-09-21,F,92,Carolina Navarro Björk,SE,50,165,backhand,,padelapi.org · elaboración propia,True
2026-09-21,F,30,Carolina Orsi,IT,35,178,drive,,padelapi.org · elaboración propia,True
2026-09-21,F,80,Caterina Maria Baldi,IT,29,165,drive,,padelapi.org · elaboración propia,True
2026-09-21,F,93,Catherine Rose,GB,27,166,drive,,padelapi.org · elaboración propia,True
2026-09-21,F,86,Clarissa Margherita Aima,IT,25,166,drive,,padelapi.org · elaboración propia,True
2026-09-21,F,58,Claudia Escacena Montero,ES,19,162,backhand,,padelapi.org · elaboración propia,True
2026-09-21,F,6,Claudia Fernandez Sanchez,ES,20,164,drive,,padelapi.org · elaboración propia,True
2026-09-21,F,10,Claudia Jensen,AR,21,158,drive,,padelapi.org · elaboración propia,True
2026-09-21,M,69,Clement Geens,BE,30,180,backhand,right,padelapi.org · elaboración propia,True
2026-09-21,F,55,Daiara Agustina Valenzuela,AR,22,168,backhand,,padelapi.org · elaboración propia,True
2026-09-21,M,54,Daniel Santigosa,ES,22,180,drive,right,padelapi.org · elaboración propia,True
2026-09-21,M,34,David Gala,ES,20,182,backhand,right,padelapi.org · elaboración propia,True
2026-09-21,F,1,Delfina Brea Senesi,AR,26,170,drive,,padelapi.org · elaboración propia,True
2026-09-21,M,71,Denis Tomas Perino,IT,30,174,drive,left,padelapi.org · elaboración propia,True
