fecha_dato,provincia_id,provincia_nombre,poblacion,anio_poblacion,n_elementos_padel_osm,n_ubicaciones_estimadas,elementos_por_10000_hab,fuente_txt,publicable
2026-09-18,PR349026,Granada,921338,2021,412,258,4.47,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349009,Ávila,158421,2021,66,60,4.17,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR348995,Huelva,525835,2021,201,119,3.82,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349025,Guadalajara,265588,2021,86,63,3.24,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR5275848,Málaga,1695651,2021,509,266,3.0,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR348992,Lugo,326013,2021,91,66,2.79,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR6426653,Comunidad de Madrid,6751251,2021,1821,1046,2.7,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR6426656,Illes Balears,1173008,2021,316,140,2.69,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349007,Segovia,153663,2021,41,34,2.67,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349022,Huesca,224264,2021,58,44,2.59,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349002,Teruel,134545,2021,32,28,2.38,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349001,Valladolid,519361,2021,120,82,2.31,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349004,Burgos,356055,2021,80,69,2.25,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349029,Salamanca,327338,2021,69,47,2.11,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR348987,Zamora,168725,2021,34,26,2.02,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349024,Cuenca,195516,2021,39,27,1.99,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349017,Cádiz,1245960,2021,245,135,1.97,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR348998,Jaén,627190,2021,123,82,1.96,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349008,Sevilla,1947852,2021,355,200,1.82,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR1863380,Cáceres,389558,2021,68,57,1.75,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349012,Alacant / Alicante,1881762,2021,313,161,1.66,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349016,Córdoba,776789,2021,121,75,1.56,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR6426654,La Rioja,319796,2021,50,36,1.56,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR6426101,Cantabria,584507,2021,83,59,1.42,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR348997,Almería,731792,2021,104,56,1.42,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349019,Ciudad Real,492591,2021,66,42,1.34,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR348990,Lleida,439727,2021,58,42,1.32,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349030,Zaragoza,967452,2021,124,81,1.28,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349023,Girona,786596,2021,101,50,1.28,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR348985,Tarragona,822309,2021,99,57,1.2,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349020,Castelló / Castellón,587064,2021,67,43,1.14,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349005,Soria,88747,2021,10,9,1.13,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR348982,Toledo,709403,2021,80,50,1.13,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349035,Barcelona,5714730,2021,610,250,1.07,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR348994,Badajoz,669943,2021,70,44,1.04,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR6427907,Región de Murcia,1518486,2021,140,64,0.92,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349000,València / Valencia,2589312,2021,221,132,0.85,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349010,León,451706,2021,35,30,0.77,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR348988,Ourense,305223,2021,22,18,0.72,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR6428094,Asturias / Asturies,1011792,2021,71,50,0.7,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR6429242,Navarra,661537,2021,43,35,0.65,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349021,A Coruña,1120134,2021,73,53,0.65,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR348989,Albacete,386464,2021,23,15,0.6,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349034,Bizkaia,1154334,2021,66,49,0.57,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349031,Las Palmas,1128539,2021,60,30,0.53,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349011,Araba / Álava,333626,2021,17,14,0.51,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR348986,Pontevedra,944275,2021,47,31,0.5,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349014,Santa Cruz de Tenerife,1044405,2021,48,27,0.46,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349015,Gipuzkoa,726033,2021,26,21,0.36,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
2026-09-18,PR349032,Palencia,159123,2021,3,3,0.19,"OpenStreetMap (colaborativo) + INE, Cifras de población · elaboración propia",True
