fecha_dato,circuito,sexo,jugador_id,jugador_nombre,posicion,posicion_diff_semana,puntos,puntos_diff_semana,fuente_txt,publicable
2026-09-21,Premier Padel,M,Jcfb7752c55,Juan Zamorà Perez,82,7.0,809,66.0,FIP / Premier Padel · elaboración propia,True
2026-09-21,Premier Padel,M,J4c1c3082f8,Victor Ruiz,53,-6.0,1125,-165.0,FIP / Premier Padel · elaboración propia,True
2026-09-21,Premier Padel,M,J061123ceeb,Aris Patiniotis,87,-6.0,795,-32.0,FIP / Premier Padel · elaboración propia,True
2026-09-21,Premier Padel,M,Je492d4755f,Facundo Rodrigo Luis Lopez,80,6.0,824,25.0,FIP / Premier Padel · elaboración propia,True
2026-09-21,Premier Padel,F,J4116a8e3fa,Carolina Navarro Björk,92,-4.0,559,-27.0,FIP / Premier Padel · elaboración propia,True
2026-09-21,Premier Padel,M,J0ce7daf580,Facundo Dominguez,86,-4.0,801,-12.0,FIP / Premier Padel · elaboración propia,True
2026-09-21,Premier Padel,M,J4578eef982,Teodoro Zapata,96,-4.0,669,-37.0,FIP / Premier Padel · elaboración propia,True
2026-09-21,Premier Padel,F,J6fd198fd3a,Giulia Sussarello,96,-4.0,539,-8.0,FIP / Premier Padel · elaboración propia,True
2026-09-21,Premier Padel,M,J59240cdf7c,Arnau Ayats,98,3.0,662,37.0,FIP / Premier Padel · elaboración propia,True
2026-09-21,Premier Padel,M,Jd6a5776124,Federico Mouriño,57,3.0,1061,24.0,FIP / Premier Padel · elaboración propia,True
2026-09-21,Premier Padel,F,J6f8b940dbb,Ksenia Sharifova,44,-3.0,1389,-7.0,FIP / Premier Padel · elaboración propia,True
2026-09-21,Premier Padel,M,J7c0fe7ccc6,Ramiro Pereyra,76,-3.0,865,-4.0,FIP / Premier Padel · elaboración propia,True
2026-09-21,Premier Padel,M,J6015336fcb,Marco Cassetta,94,3.0,682,13.0,FIP / Premier Padel · elaboración propia,True
2026-09-21,Premier Padel,F,J9a1721fb47,Xenia Clasca Vidiella,98,-3.0,510,-15.0,FIP / Premier Padel · elaboración propia,True
2026-09-21,Premier Padel,F,Jaf1ce82cc7,Maria Laura Ferreyra,83,3.0,652,42.0,FIP / Premier Padel · elaboración propia,True
2026-09-21,Premier Padel,M,J7ca1fe633f,Dylan Guichard,72,3.0,887,19.0,FIP / Premier Padel · elaboración propia,True
2026-09-21,Premier Padel,F,J7970a5b206,Eugenia Guimet Bigas,95,3.0,546,37.0,FIP / Premier Padel · elaboración propia,True
2026-09-21,Premier Padel,F,J3d3c325ef5,Catherine Rose,93,3.0,550,26.0,FIP / Premier Padel · elaboración propia,True
2026-09-21,Premier Padel,M,J46732aee41,Lucas Bergamini,19,-2.0,3022,-281.0,FIP / Premier Padel · elaboración propia,True
2026-09-21,Premier Padel,M,J7797c1334f,Javier Valdes,97,-2.0,668,-14.0,FIP / Premier Padel · elaboración propia,True
2026-09-21,Premier Padel,M,Ja250815150,Manuel Aragon Herrera,100,-2.0,638,-6.0,FIP / Premier Padel · elaboración propia,True
