fecha,torneo_nombre,categoria,ronda,equipo_ganador,semilla_ganador,equipo_perdedor,semilla_perdedor,diferencia_semillas,marcador_txt,fuente_txt,publicable
2026-09-03,Madrid P1 2026,men,Round of 16,Jose Jimenez / Alejandro Arroyo,14,Jon Sanz / Franco Stupaczuk,4,10,"6(6)-7, 4-6",padelapi.org · elaboración propia,True
2026-05-14,Buenos Aires P1 2026,men,Round of 16,Javier Garcia / Jose Jimenez,15,Momo Gonzalez / Martin Di Nenno,7,8,"4-6, 4-6",padelapi.org · elaboración propia,True
2026-07-30,Pretoria P1 2026,men,Round of 16,Javier Garcia / Alex Ruiz,12,Martin Di Nenno / Francisco Navarro,5,7,"6(3)-7, 6-4, 6-3",padelapi.org · elaboración propia,True
2026-09-03,Madrid P1 2026,men,Round of 16,Inigo Jofre / Jairo Bautista,15,Momo Gonzalez / Lucas Campagnolo,8,7,"7-5, 6-3",padelapi.org · elaboración propia,True
2026-09-10,Paris Major 2026,men,Round of 16,Edu Alonso / Aimar Goñi,12,Miguel Yanguas / Jorge Nieto,5,7,"4-6, 3-6",padelapi.org · elaboración propia,True
2026-03-29,FIP Silver Kalat,men,Finals,Victor Mena / Marcos Gonzalez Blanco,8,Javier Ruiz / Gonzalo Rubio,1,7,"2-6, 7-5, 6-7",padelapi.org · elaboración propia,True
2026-06-20,FIP Silver Narbona,men,Quarter,Benjamin Tison / Ferran Insa Sotillo,8,Juan Ignacio Rubini / Maxi Sanchez,1,7,"4-6, 2-6",padelapi.org · elaboración propia,True
2026-08-16,FIP Silver Bali Island Sports,women,Semifinals,Jimena Diaz De La Iglesia / Alba Vazquez Gracia,8,Virginia Riera / Zahra Kahrizi,1,7,"3-6, 5-7",padelapi.org · elaboración propia,True
2026-06-04,Italy Major 2026,men,Round of 16,Momo Gonzalez / Lucas Campagnolo,9,Miguel Yanguas / Franco Stupaczuk,3,6,"6-4, 7-6(3)",padelapi.org · elaboración propia,True
2026-06-11,Valencia P1 2026,men,Round of 16,Juan Tello / Maximiliano Arce,14,Lucas Bergamini / Javier Garrido,8,6,"6(5)-7, 6-3, 6(3)-7",padelapi.org · elaboración propia,True
