fecha_dato,geo,pais,clasificacion,ratio_padel_tenis_reciente,ratio_padel_tenis_anterior,variacion_pct,meses_con_dato,fuente_txt,publicable
2026-09-01,ZA,Sudáfrica,growing,80.06,43.56,83.8,13,"Google Trends (pytrends, no oficial) · elaboración propia",True
2026-09-01,DE,Alemania,hotspot,11.69,7.69,52.0,13,"Google Trends (pytrends, no oficial) · elaboración propia",True
2026-09-01,IE,Irlanda,hotspot,6.65,4.84,37.4,13,"Google Trends (pytrends, no oficial) · elaboración propia",True
2026-09-01,PL,Polonia,diamonds_in_the_rough,0.21,0.17,23.5,13,"Google Trends (pytrends, no oficial) · elaboración propia",True
2026-09-01,CH,Suiza,growing,5.71,4.7,21.5,13,"Google Trends (pytrends, no oficial) · elaboración propia",True
2026-09-01,IN,India,diamonds_in_the_rough,2.34,2.03,15.3,13,"Google Trends (pytrends, no oficial) · elaboración propia",True
2026-09-01,AU,Australia,diamonds_in_the_rough,4.93,4.34,13.6,13,"Google Trends (pytrends, no oficial) · elaboración propia",True
2026-09-01,MA,Marruecos,growing,8.47,7.8,8.6,13,"Google Trends (pytrends, no oficial) · elaboración propia",True
2026-09-01,GB,Reino Unido,hotspot,13.71,13.21,3.8,13,"Google Trends (pytrends, no oficial) · elaboración propia",True
2026-09-01,TH,Tailandia,growing,12.25,12.08,1.4,13,"Google Trends (pytrends, no oficial) · elaboración propia",True
2026-09-01,BR,Brasil,diamonds_in_the_rough,0.02,0.02,0.0,13,"Google Trends (pytrends, no oficial) · elaboración propia",True
2026-09-01,MX,México,growing,0.05,0.05,0.0,13,"Google Trends (pytrends, no oficial) · elaboración propia",True
2026-09-01,PH,Filipinas,emerging,4.06,4.28,-5.1,13,"Google Trends (pytrends, no oficial) · elaboración propia",True
2026-09-01,PT,Portugal,growing,0.6,0.65,-7.7,13,"Google Trends (pytrends, no oficial) · elaboración propia",True
2026-09-01,ID,Indonesia,diamonds_in_the_rough,3.18,3.46,-8.1,13,"Google Trends (pytrends, no oficial) · elaboración propia",True
2026-09-01,CO,Colombia,emerging,0.09,0.1,-10.0,13,"Google Trends (pytrends, no oficial) · elaboración propia",True
2026-09-01,CN,China,emerging,2.04,2.46,-17.1,13,"Google Trends (pytrends, no oficial) · elaboración propia",True
2026-09-01,IL,Israel,growing,5.24,6.65,-21.2,13,"Google Trends (pytrends, no oficial) · elaboración propia",True
2026-09-01,US,Estados Unidos,diamonds_in_the_rough,0.53,0.75,-29.3,13,"Google Trends (pytrends, no oficial) · elaboración propia",True
2026-09-01,SN,Senegal,emerging,3.9,,,13,"Google Trends (pytrends, no oficial) · elaboración propia",True
